,t,vb,vg,qe,dcr,dt,ap,bif
166,-50.0,70.82514912971287,500.0,0.12,306.6444402994327,1.0170000000001625e-05,0.026768371997861716,0.015012172112366884
167,-50.0,70.0961681449091,600.0,0.12,599.240111889783,1.1450000000001832e-05,0.008816229268231892,0.009740507757202803
168,-45.0,73.5107596047933,0.0,0.12,432.1871979948114,9.93500000000159e-06,0.14963843001892943,0.01623645921236187
169,-45.0,72.99439320276775,100.0,0.12,331.1899608735352,1.0290000000001645e-05,0.06135944842305596,0.02020945717289075
170,-45.0,72.79874119156621,200.0,0.12,447.165118349943,9.300000000001486e-06,0.216481706099453,0.019098472040786633
171,-45.0,72.24060576215963,300.0,0.12,342.2163068703143,9.355000000001494e-06,0.08362136861123715,0.021573343676073824
172,-45.0,71.80358084263403,400.0,0.12,319.35155809945456,9.13000000000146e-06,0.15858139462244986,0.014123995182602963
173,-45.0,71.19837241988472,500.0,0.12,229.49711953455258,1.0190000000001629e-05,0.0014706224172646963,0.014415781813156454
174,-45.0,70.67954569386556,600.0,0.12,494.2542301981638,1.095500000000175e-05,0.0076484938547805355,0.008718280052897166
175,-45.0,70.2247310237157,700.0,0.12,1052.5111232216734,1.176000000000188e-05,0.012246322427420658,0.008417961687699824
176,-40.0,73.84967693819861,0.0,0.12,460.85974993625155,1.182500000000189e-05,0.021143674867810474,0.013582492567379563
177,-40.0,73.52909164795018,100.0,0.12,525.0699167264158,1.0030000000001603e-05,0.026764784273792013,0.012815245791306693
178,-40.0,73.03792753355638,200.0,0.12,406.14055069839145,1.1295000000001805e-05,0.18397145236606074,0.012733548480955495
179,-40.0,72.4997378355574,300.0,0.12,322.6732070235151,1.0235000000001636e-05,0.004996011227238998,0.00912061171991741
180,-40.0,72.09138372484917,400.0,0.12,330.2402636857888,1.0130000000001619e-05,0.003943022739637943,0.009571312376661803
181,-40.0,71.76294780697117,500.0,0.12,368.8016395461946,1.0135000000001622e-05,0.014701065900095922,0.009984021613069868
