,t,vb,vg,qe,dcr,dt,ap,bif
151,-45.0,73.01890743049634,800.0,0.09,119.63958482184127,6.170000000000985e-06,0.021372391434395697,0.010132625913458516
152,-45.0,72.77513610510755,900.0,0.09,112.39742874780767,6.175000000000987e-06,0.08158135528446382,0.01266335663390706
153,-45.0,72.575523785809,1000.0,0.09,100.44910119548197,6.535000000001045e-06,0.00993795560783815,0.011706721865495089
154,-40.0,75.72666931372844,0.0,0.09,318.8429066707432,6.335000000001012e-06,0.15470638313488294,0.027914539794990655
155,-40.0,75.57663329214583,100.0,0.09,281.6310415691733,6.4350000000010285e-06,0.4304871031888146,0.019271876820493736
156,-40.0,75.19153080217028,200.0,0.09,238.60019023801192,6.200000000000992e-06,0.04015117496936202,0.016794937252973464
157,-40.0,74.92119233682332,300.0,0.09,239.56137099734124,6.470000000001034e-06,0.12324514292976456,0.009117415643175312
158,-40.0,74.64801278055181,400.0,0.09,206.43126206379623,6.225000000000995e-06,0.08812037996114332,0.012477042269860999
159,-40.0,74.34669068092381,500.0,0.09,212.21841062011333,6.470000000001034e-06,0.04885649162199707,0.007906797240432577
160,-40.0,74.08924309760296,600.0,0.09,198.8775136751518,3.855000000000616e-06,0.0982861176949826,0.0158010999997486
161,-40.0,73.80513954876983,700.0,0.09,196.86154565307237,6.335000000001012e-06,0.12026721542742708,0.010052906062650312
162,-40.0,73.75312974165864,800.0,0.09,267.8154685940022,5.910000000000944e-06,0.17928808195009174,0.013678763058180466
163,-40.0,73.39594488811723,900.0,0.09,178.28038613792657,6.130000000000979e-06,0.09811426051415838,0.009342972995055862
164,-40.0,73.14612137857382,1000.0,0.09,148.88264255752517,3.915000000000626e-06,0.031081163756388197,0.008890528920461709
165,-50.0,74.75845507666608,0.0,0.1,176.92315557306026,6.1350000000009806e-06,0.6528088687363198,0.043672583678822964
166,-50.0,74.82827540587124,100.0,0.1,180.02640245209292,6.065000000000969e-06,0.781283918691009,0.03588021124384224
167,-50.0,74.6705289979964,200.0,0.1,182.7248321108547,6.220000000000994e-06,0.7983099428250366,0.030038643193113144
168,-50.0,74.13251758323058,300.0,0.1,70.41266857129042,5.985000000000957e-06,0.24303898585388972,0.020928695812479407
169,-50.0,73.91723109174006,400.0,0.1,100.08624684658567,5.920000000000946e-06,0.5126191559543721,0.02574532320334787
